# mostab: 0.1
# device: medwatt_demo
# corner: tt
# simulator: NgspiceSimulator
# description: synthetic test table
# W: 1e-06
L,VDS,VSB,VGS,ID,GM,GDS,VTH
4.5e-08,0.6,0,0.3,1e-06,1e-05,1e-07,0.4
4.5e-08,1,0,0.3,1e-06,1e-05,1e-07,0.4
4.5e-08,0.6,0,0.5,2e-06,2e-05,2e-07,0.4
4.5e-08,1,0,0.5,2e-06,2e-05,2e-07,0.4
4.5e-08,0.6,0,0.7,3e-06,3e-05,3e-07,0.4
4.5e-08,1,0,0.7,3e-06,3e-05,3e-07,0.4
4.5e-08,0.6,0.3,0.3,1e-06,1e-05,1e-07,0.4
4.5e-08,1,0.3,0.3,1e-06,1e-05,1e-07,0.4
4.5e-08,0.6,0.3,0.5,2e-06,2e-05,2e-07,0.4
4.5e-08,1,0.3,0.5,2e-06,2e-05,2e-07,0.4
4.5e-08,0.6,0.3,0.7,3e-06,3e-05,3e-07,0.4
4.5e-08,1,0.3,0.7,3e-06,3e-05,3e-07,0.4
1e-07,0.6,0,0.3,2e-06,2e-05,2e-07,0.4
1e-07,1,0,0.3,2e-06,2e-05,2e-07,0.4
1e-07,0.6,0,0.5,4e-06,4e-05,4e-07,0.4
1e-07,1,0,0.5,4e-06,4e-05,4e-07,0.4
1e-07,0.6,0,0.7,6e-06,6e-05,6e-07,0.4
1e-07,1,0,0.7,6e-06,6e-05,6e-07,0.4
1e-07,0.6,0.3,0.3,2e-06,2e-05,2e-07,0.4
1e-07,1,0.3,0.3,2e-06,2e-05,2e-07,0.4
1e-07,0.6,0.3,0.5,4e-06,4e-05,4e-07,0.4
1e-07,1,0.3,0.5,4e-06,4e-05,4e-07,0.4
1e-07,0.6,0.3,0.7,6e-06,6e-05,6e-07,0.4
1e-07,1,0.3,0.7,6e-06,6e-05,6e-07,0.4
